epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 0.8921874999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 11, 0
.01, 0.9195312499999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 18, 0
.01, 0.9332031249999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 2, 41, 0
.01, 0.9400390624999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 46, 0
.01, 0.9366210937499999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 1, 56, 0
.01, 0.9349121093749999, 1, 50, 8.0, 13.0, 0.61538461538461542, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 5, 0
.01, 1.05625, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 24, 0
.01, 0.9468749999999999, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 9, 0
.01, 1.0015625, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 17, 0
.01, 1.02890625, 1, 50, 9.0, 12.0, 0.75, 23.0, 1, 49, 0
.01, 1.015234375, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 25, 0
.01, 1.0220703125, 1, 50, 9.0, 12.0, 0.75, 23.0, 2, 39, 0
.01, 1.02548828125, 1, 50, 9.0, 12.0, 0.75, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 8, 0
.01, 0.8374999999999999, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 2, 4, 0
.01, 1.05625, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 2, 11, 0
.01, 1.165625, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 20, 0
.01, 1.1109375, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 2, 26, 0
.01, 1.13828125, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 1, 32, 0
.01, 1.124609375, 1, 50, 10.0, 11.0, 0.90909090909090906, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 1, 18, 0
.01, 0.8374999999999999, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 4, 0
.01, 1.05625, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 7, 0
.01, 1.165625, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 13, 0
.01, 1.2203125, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 2, 29, 0
.01, 1.24765625, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 1, 31, 0
.01, 1.233984375, 1, 50, 11.0, 10.0, 1.1000000000000001, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 2, 0
.01, 1.275, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 2, 13, 0
.01, 1.7125, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 4, 0
.01, 1.49375, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 7, 0
.01, 1.384375, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 1, 20, 0
.01, 1.3296875, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 2, 24, 0
.01, 1.35703125, 1, 50, 12.0, 9.0, 1.3333333333333333, 23.0, 3, 60, 0
.01, 2.15, 1, 50, 13.0, 8.0, 1.625, 23.0, 1, 2, 0
