epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner,final_pop1,final_pop2, time
.01, 0.8625, 1, 80, 80, 13.421052631578947, 10, 1.3421052631578947, 143.12499999999952, 149.99999999999955, 2, 20
.01, 0.95625, 1, 80, 80, 13.421052631578947, 10, 1.3421052631578947, 147.81249999999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 152.49999999999955, 149.99999999999955, 1, 17
.01, 0.675, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 143.12499999999952, 149.99999999999955, 2, 21
.01, 0.95625, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 147.81249999999955, 149.99999999999955, 1, 126
.01, 0.909375, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 145.46874999999952, 149.99999999999955, 2, 50
.01, 0.9328125, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 146.64062499999952, 149.99999999999955, 2, 167
.01, 0.94453125, 1, 80, 80, 13.947368421052632, 10, 1.3947368421052633, 147.22656249999955, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 14.473684210526315, 10, 1.4473684210526314, 152.49999999999955, 149.99999999999955, 1, 16
.01, 0.675, 1, 80, 80, 14.473684210526315, 10, 1.4473684210526314, 133.74999999999949, 149.99999999999955, 2, 6
.01, 0.8625, 1, 80, 80, 14.473684210526315, 10, 1.4473684210526314, 143.12499999999952, 149.99999999999955, 2, 22
.01, 0.95625, 1, 80, 80, 14.473684210526315, 10, 1.4473684210526314, 147.81249999999955, 149.99999999999955, 1, 86
.01, 0.909375, 1, 80, 80, 14.473684210526315, 10, 1.4473684210526314, 145.46874999999952, 149.99999999999955, 2, 60
.01, 0.9328125, 1, 80, 80, 14.473684210526315, 10, 1.4473684210526314, 146.64062499999952, 149.99999999999955, 3, 200
.01, 1.05, 1, 80, 80, 15.0, 10, 1.5, 152.49999999999872, 149.99999999999955, 1, 15
.01, 0.675, 1, 80, 80, 15.0, 10, 1.5, 133.74999999999949, 149.99999999999955, 2, 7
.01, 0.8625, 1, 80, 80, 15.0, 10, 1.5, 143.12499999999952, 149.99999999999955, 2, 24
.01, 0.95625, 1, 80, 80, 15.0, 10, 1.5, 147.81249999999955, 149.99999999999955, 1, 65
.01, 0.909375, 1, 80, 80, 15.0, 10, 1.5, 145.46874999999952, 149.99999999999955, 2, 76
.01, 0.9328125, 1, 80, 80, 15.0, 10, 1.5, 146.64062499999952, 149.99999999999955, 3, 200
