epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.2330147743225097, 1, 161.6507387161255, 100, 9.0, 10.0, 0.90000000000000002, 3, 100
.01, 1.2, 1, 160.0, 100, 10.0, 10.0, 1.0, 2, 12
.01, 1.5499999999999998, 1, 177.5, 100, 10.0, 10.0, 1.0, 1, 6
.01, 1.375, 1, 168.75, 100, 10.0, 10.0, 1.0, 1, 10
.01, 1.2875, 1, 164.375, 100, 10.0, 10.0, 1.0, 1, 16
.01, 1.24375, 1, 162.1875, 100, 10.0, 10.0, 1.0, 1, 24
.01, 1.2218749999999998, 1, 161.09375, 100, 10.0, 10.0, 1.0, 1, 38
.01, 1.2109375, 1, 160.546875, 100, 10.0, 10.0, 1.0, 2, 17
.01, 1.21640625, 1, 160.8203125, 100, 10.0, 10.0, 1.0, 2, 27
.01, 1.2191406249999999, 1, 160.95703124999997, 100, 10.0, 10.0, 1.0, 1, 46
.01, 1.2177734375, 1, 160.888671875, 100, 10.0, 10.0, 1.0, 1, 62
.01, 1.21708984375, 1, 160.8544921875, 100, 10.0, 10.0, 1.0, 2, 32
.01, 1.217431640625, 1, 160.87158203125, 100, 10.0, 10.0, 1.0, 2, 38
.01, 1.2176025390625, 1, 160.880126953125, 100, 10.0, 10.0, 1.0, 2, 47
.01, 1.21768798828125, 1, 160.8843994140625, 100, 10.0, 10.0, 1.0, 1, 70
.01, 1.217645263671875, 1, 160.88226318359375, 100, 10.0, 10.0, 1.0, 2, 58
.01, 1.2176666259765625, 1, 160.88333129882812, 100, 10.0, 10.0, 1.0, 1, 77
.01, 1.2176559448242188, 1, 160.88279724121094, 100, 10.0, 10.0, 1.0, 1, 90
.01, 1.217650604248047, 1, 160.88253021240234, 100, 10.0, 10.0, 1.0, 2, 64
.01, 1.2176532745361328, 1, 160.88266372680664, 100, 10.0, 10.0, 1.0, 2, 72
.01, 1.2176546096801757, 1, 160.8827304840088, 100, 10.0, 10.0, 1.0, 3, 100
.01, 1.2, 1, 160.0, 100, 11.0, 10.0, 1.1000000000000001, 2, 19
.01, 1.5499999999999998, 1, 177.5, 100, 11.0, 10.0, 1.1000000000000001, 1, 6
.01, 1.375, 1, 168.75, 100, 11.0, 10.0, 1.1000000000000001, 1, 9
.01, 1.2875, 1, 164.375, 100, 11.0, 10.0, 1.1000000000000001, 1, 14
.01, 1.24375, 1, 162.1875, 100, 11.0, 10.0, 1.1000000000000001, 1, 20
.01, 1.2218749999999998, 1, 161.09375, 100, 11.0, 10.0, 1.1000000000000001, 1, 26
.01, 1.2109375, 1, 160.546875, 100, 11.0, 10.0, 1.1000000000000001, 1, 33
.01, 1.20546875, 1, 160.2734375, 100, 11.0, 10.0, 1.1000000000000001, 1, 45
.01, 1.202734375, 1, 160.13671875, 100, 11.0, 10.0, 1.1000000000000001, 2, 25
.01, 1.2041015625, 1, 160.205078125, 100, 11.0, 10.0, 1.1000000000000001, 2, 37
.01, 1.20478515625, 1, 160.2392578125, 100, 11.0, 10.0, 1.1000000000000001, 1, 51
.01, 1.204443359375, 1, 160.22216796875, 100, 11.0, 10.0, 1.1000000000000001, 1, 58
.01, 1.2042724609375, 1, 160.213623046875, 100, 11.0, 10.0, 1.1000000000000001, 2, 49
.01, 1.2043579101562498, 1, 160.2178955078125, 100, 11.0, 10.0, 1.1000000000000001, 1, 63
.01, 1.204315185546875, 1, 160.21575927734375, 100, 11.0, 10.0, 1.1000000000000001, 1, 71
.01, 1.2042938232421876, 1, 160.21469116210938, 100, 11.0, 10.0, 1.1000000000000001, 2, 59
.01, 1.2043045043945313, 1, 160.21522521972656, 100, 11.0, 10.0, 1.1000000000000001, 1, 78
.01, 1.2042991638183596, 1, 160.21495819091797, 100, 11.0, 10.0, 1.1000000000000001, 1, 95
.01, 1.2042964935302736, 1, 160.2148246765137, 100, 11.0, 10.0, 1.1000000000000001, 2, 64
.01, 1.2042978286743167, 1, 160.21489143371582, 100, 11.0, 10.0, 1.1000000000000001, 2, 69
.01, 1.2042984962463381, 1, 160.2149248123169, 100, 11.0, 10.0, 1.1000000000000001, 2, 75
.01, 1.2042988300323487, 1, 160.21494150161743, 100, 11.0, 10.0, 1.1000000000000001, 2, 92
.01, 1.2042989969253541, 1, 160.21494984626773, 100, 11.0, 10.0, 1.1000000000000001, 1, 100
.01, 1.2042989134788513, 1, 160.21494567394257, 100, 11.0, 10.0, 1.1000000000000001, 3, 100
.01, 1.2, 1, 160.0, 100, 12.0, 10.0, 1.2, 1, 31
.01, 0.85, 1, 142.5, 100, 12.0, 10.0, 1.2, 2, 2
.01, 1.025, 1, 151.25, 100, 12.0, 10.0, 1.2, 2, 4
.01, 1.1124999999999998, 1, 155.625, 100, 12.0, 10.0, 1.2, 2, 6
.01, 1.15625, 1, 157.8125, 100, 12.0, 10.0, 1.2, 2, 8
.01, 1.178125, 1, 158.90625, 100, 12.0, 10.0, 1.2, 2, 12
.01, 1.1890625, 1, 159.453125, 100, 12.0, 10.0, 1.2, 2, 19
.01, 1.1945312499999998, 1, 159.7265625, 100, 12.0, 10.0, 1.2, 1, 40
.01, 1.1917968749999999, 1, 159.58984374999997, 100, 12.0, 10.0, 1.2, 2, 27
.01, 1.1931640624999997, 1, 159.65820312499997, 100, 12.0, 10.0, 1.2, 1, 47
.01, 1.19248046875, 1, 159.6240234375, 100, 12.0, 10.0, 1.2, 2, 39
.01, 1.1928222656249998, 1, 159.64111328125, 100, 12.0, 10.0, 1.2, 1, 52
.01, 1.1926513671874999, 1, 159.63256835937497, 100, 12.0, 10.0, 1.2, 1, 59
.01, 1.19256591796875, 1, 159.6282958984375, 100, 12.0, 10.0, 1.2, 2, 51
.01, 1.1926086425781248, 1, 159.63043212890625, 100, 12.0, 10.0, 1.2, 1, 65
.01, 1.1925872802734374, 1, 159.62936401367188, 100, 12.0, 10.0, 1.2, 1, 72
.01, 1.1925765991210937, 1, 159.6288299560547, 100, 12.0, 10.0, 1.2, 2, 61
.01, 1.1925819396972654, 1, 159.62909698486328, 100, 12.0, 10.0, 1.2, 1, 78
.01, 1.1925792694091797, 1, 159.62896347045898, 100, 12.0, 10.0, 1.2, 1, 94
.01, 1.1925779342651368, 1, 159.62889671325684, 100, 12.0, 10.0, 1.2, 2, 65
.01, 1.1925786018371582, 1, 159.6289300918579, 100, 12.0, 10.0, 1.2, 2, 70
.01, 1.1925789356231689, 1, 159.62894678115845, 100, 12.0, 10.0, 1.2, 2, 78
.01, 1.1925791025161743, 1, 159.62895512580872, 100, 12.0, 10.0, 1.2, 3, 100
.01, 1.2, 1, 160.0, 100, 13.0, 10.0, 1.3, 1, 24
.01, 0.85, 1, 142.5, 100, 13.0, 10.0, 1.3, 2, 2
.01, 1.025, 1, 151.25, 100, 13.0, 10.0, 1.3, 2, 4
.01, 1.1124999999999998, 1, 155.625, 100, 13.0, 10.0, 1.3, 2, 6
.01, 1.15625, 1, 157.8125, 100, 13.0, 10.0, 1.3, 2, 9
.01, 1.178125, 1, 158.90625, 100, 13.0, 10.0, 1.3, 2, 18
.01, 1.1890625, 1, 159.453125, 100, 13.0, 10.0, 1.3, 1, 30
.01, 1.18359375, 1, 159.1796875, 100, 13.0, 10.0, 1.3, 1, 40
.01, 1.180859375, 1, 159.04296875, 100, 13.0, 10.0, 1.3, 2, 23
.01, 1.1822265625, 1, 159.111328125, 100, 13.0, 10.0, 1.3, 1, 68
.01, 1.18154296875, 1, 159.0771484375, 100, 13.0, 10.0, 1.3, 2, 27
.01, 1.181884765625, 1, 159.09423828125, 100, 13.0, 10.0, 1.3, 2, 31
.01, 1.1820556640625, 1, 159.102783203125, 100, 13.0, 10.0, 1.3, 2, 35
.01, 1.1821411132812498, 1, 159.1070556640625, 100, 13.0, 10.0, 1.3, 2, 39
.01, 1.1821838378906249, 1, 159.10919189453122, 100, 13.0, 10.0, 1.3, 2, 44
.01, 1.1822052001953125, 1, 159.11026000976562, 100, 13.0, 10.0, 1.3, 2, 50
.01, 1.1822158813476562, 1, 159.1107940673828, 100, 13.0, 10.0, 1.3, 2, 88
.01, 1.182221221923828, 1, 159.1110610961914, 100, 13.0, 10.0, 1.3, 1, 71
.01, 1.1822185516357422, 1, 159.1109275817871, 100, 13.0, 10.0, 1.3, 1, 75
.01, 1.1822172164916993, 1, 159.11086082458496, 100, 13.0, 10.0, 1.3, 1, 79
.01, 1.1822165489196776, 1, 159.1108274459839, 100, 13.0, 10.0, 1.3, 1, 83
