epsilon, alpha, pop1, pop2, dif1, dif2, difratio, blobsize, winner
.01, 1.7410879284143448, 187.05439642071724, 100, 1.0, 20.0, 0.050000000000000003, 22.0, 3
.01, 1.6060675829648972, 180.30337914824486, 100, 2.0, 19.0, 0.10526315789473684, 22.0, 3
.01, 1.5154589861631393, 175.77294930815697, 100, 3.0, 18.0, 0.16666666666666666, 22.0, 3
.01, 1.445176437497139, 172.25882187485695, 100, 4.0, 17.0, 0.23529411764705882, 22.0, 3
.01, 1.3865775913000107, 169.32887956500053, 100, 5.0, 16.0, 0.3125, 22.0, 3
.01, 1.3354768604040146, 166.77384302020073, 100, 6.0, 15.0, 0.40000000000000002, 22.0, 3
.01, 1.2894903868436813, 164.47451934218407, 100, 7.0, 14.0, 0.5, 22.0, 3
.01, 1.2471047788858414, 162.35523894429207, 100, 8.0, 13.0, 0.61538461538461542, 22.0, 3
.01, 1.2072752267122269, 160.36376133561134, 100, 9.0, 12.0, 0.75, 22.0, 3
.01, 1.169225051999092, 158.4612525999546, 100, 10.0, 11.0, 0.90909090909090906, 22.0, 3
.01, 1.1323338598012924, 156.61669299006462, 100, 11.0, 10.0, 1.1000000000000001, 22.0, 3
.01, 1.0960665494203568, 154.80332747101784, 100, 12.0, 9.0, 1.3333333333333333, 22.0, 3
.01, 1.0599210113286972, 152.99605056643486, 100, 13.0, 8.0, 1.625, 22.0, 3
.01, 1.023380920290947, 151.16904601454735, 100, 14.0, 7.0, 2.0, 22.0, 3
.01, 0.9858594983816147, 149.29297491908073, 100, 15.0, 6.0, 2.5, 22.0, 3
.01, 0.9466186016798019, 147.3309300839901, 100, 16.0, 5.0, 3.2000000000000002, 22.0, 3
.01, 0.904620572924614, 145.2310286462307, 100, 17.0, 4.0, 4.25, 22.0, 3
.01, 0.8582109361886978, 142.9105468094349, 100, 18.0, 3.0, 6.0, 22.0, 3
.01, 0.8042673319578171, 140.21336659789085, 100, 19.0, 2.0, 9.5, 22.0, 3
.01, 0.7349241822957993, 136.74620911478996, 100, 20.0, 1.0, 20.0, 22.0, 3
