epsilon, alpha, beta, pop, dif1, dif2, difratio, blobsize, winner, time, converged
.01, 0.8374999999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 1, 19, 0
.01, 0.6187499999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 2, 4, 0
.01, 0.7281249999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 2, 8, 0
.01, 0.7828124999999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 1, 36, 0
.01, 0.7554687499999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 2, 17, 0
.01, 0.7691406249999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 1, 50, 0
.01, 0.7623046874999999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 2, 29, 0
.01, 0.7657226562499999, 1, 50, 6.0, 15.0, 0.40000000000000002, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 7.0, 14.0, 0.5, 24.0, 2, 24, 0
.01, 1.05625, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 8, 0
.01, 0.9468749999999999, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 15, 0
.01, 0.8921874999999999, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 23, 0
.01, 0.8648437499999999, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 33, 0
.01, 0.8511718749999999, 1, 50, 7.0, 14.0, 0.5, 24.0, 1, 45, 0
.01, 0.8443359374999999, 1, 50, 7.0, 14.0, 0.5, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 1, 5, 0
.01, 0.8374999999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 2, 7, 0
.01, 1.05625, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 1, 12, 0
.01, 0.9468749999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 1, 33, 0
.01, 0.8921874999999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 2, 12, 0
.01, 0.9195312499999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 2, 25, 0
.01, 0.9332031249999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 1, 48, 0
.01, 0.9263671874999999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 2, 60, 0
.01, 0.9297851562499999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 1, 57, 0
.01, 0.9280761718749999, 1, 50, 8.0, 13.0, 0.61538461538461542, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 9.0, 12.0, 0.75, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 9.0, 12.0, 0.75, 24.0, 1, 6, 0
.01, 0.8374999999999999, 1, 50, 9.0, 12.0, 0.75, 24.0, 2, 5, 0
.01, 1.05625, 1, 50, 9.0, 12.0, 0.75, 24.0, 1, 24, 0
.01, 0.9468749999999999, 1, 50, 9.0, 12.0, 0.75, 24.0, 2, 9, 0
.01, 1.0015625, 1, 50, 9.0, 12.0, 0.75, 24.0, 2, 21, 0
.01, 1.02890625, 1, 50, 9.0, 12.0, 0.75, 24.0, 1, 40, 0
.01, 1.015234375, 1, 50, 9.0, 12.0, 0.75, 24.0, 2, 46, 0
.01, 1.0220703125, 1, 50, 9.0, 12.0, 0.75, 24.0, 1, 51, 0
.01, 1.01865234375, 1, 50, 9.0, 12.0, 0.75, 24.0, 3, 60, 0
.01, 2.15, 1, 50, 10.0, 11.0, 0.90909090909090906, 24.0, 1, 2, 0
.01, 1.275, 1, 50, 10.0, 11.0, 0.90909090909090906, 24.0, 1, 9, 0
.01, 0.8374999999999999, 1, 50, 10.0, 11.0, 0.90909090909090906, 24.0, 2, 4, 0
