epsilon, alpha, beta, pop, dif1, dif2, difratio, winner, time
.01, 1.2263519287109377, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 54
.01, 1.2263381958007815, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 59
.01, 1.2263450622558596, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 58
.01, 1.2263416290283207, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 62
.01, 1.226339912414551, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 68
.01, 1.2263390541076662, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 2, 69
.01, 1.2263394832611088, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 73
.01, 1.2263392686843875, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 1, 79
.01, 1.2263391613960268, 1, 50, 9.3333333333333339, 10, 0.93333333333333335, 3, 80
.01, 1.25, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 16
.01, 1.475, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 4
.01, 1.3625, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 7
.01, 1.30625, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 10
.01, 1.278125, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 14
.01, 1.2640625, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 20
.01, 1.25703125, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 28
.01, 1.253515625, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 21
.01, 1.2552734375, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 47
.01, 1.25439453125, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 25
.01, 1.254833984375, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 29
.01, 1.2550537109375002, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 33
.01, 1.2551635742187501, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 38
.01, 1.255218505859375, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 49
.01, 1.2552459716796875, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 51
.01, 1.2552322387695312, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 57
.01, 1.255225372314453, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 63
.01, 1.255228805541992, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 61
.01, 1.2552270889282227, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 66
.01, 1.255226230621338, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 72
.01, 1.2552258014678954, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 2, 73
.01, 1.2552260160446167, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 1, 76
.01, 1.255225908756256, 1, 50, 9.7777777777777786, 10, 0.97777777777777786, 3, 80
.01, 1.25, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 8
.01, 1.475, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 5
.01, 1.3625, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 8
.01, 1.30625, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 14
.01, 1.278125, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 16
.01, 1.2921874999999998, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 19
.01, 1.28515625, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 29
.01, 1.281640625, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 21
.01, 1.2833984375, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 33
.01, 1.28427734375, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 33
.01, 1.283837890625, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 38
.01, 1.2836181640625002, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 49
.01, 1.28350830078125, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 37
.01, 1.283563232421875, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 44
.01, 1.2835906982421876, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 57
.01, 1.2835769653320312, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 50
.01, 1.2835838317871096, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 2, 69
.01, 1.2835872650146487, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 61
.01, 1.2835855484008791, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 65
.01, 1.2835846900939942, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 69
.01, 1.283584260940552, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 1, 74
.01, 1.2835840463638308, 1, 50, 10.222222222222221, 10, 1.0222222222222221, 3, 80
.01, 1.25, 1, 50, 10.666666666666666, 10, 1.0666666666666667, 2, 6
.01, 1.475, 1, 50, 10.666666666666666, 10, 1.0666666666666667, 1, 5
.01, 1.3625, 1, 50, 10.666666666666666, 10, 1.0666666666666667, 1, 10
