epsilon, alpha, pop1, pop2, dif1, dif2, difratio, winner
.01, 1.4300537109375, 171.502685546875, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.43050537109375, 171.5252685546875, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.430279541015625, 171.51397705078125, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4301666259765624, 171.50833129882812, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.4302230834960938, 171.5111541748047, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4301948547363281, 171.5097427368164, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.430208969116211, 171.51044845581055, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4302019119262694, 171.51009559631348, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4301983833312988, 171.50991916656494, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.430200147628784, 171.5100073814392, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4301992654800415, 171.50996327400208, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.4301997065544128, 171.50998532772064, 50, 2.0, 19.0, 0.10526315789473684, 1
.01, 1.4301994860172271, 171.50997430086136, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.4301995962858198, 171.509979814291, 50, 2.0, 19.0, 0.10526315789473684, 2
.01, 1.4301996514201163, 171.5099825710058, 50, 2.0, 19.0, 0.10526315789473684, 3
.01, 2.15, 207.5, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.6875, 184.375, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.4562499999999998, 172.8125, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3406249999999997, 167.03124999999997, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3984374999999998, 169.921875, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3695312499999996, 168.47656249999997, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3550781249999997, 167.75390624999997, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3478515624999998, 167.392578125, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3442382812499998, 167.2119140625, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3424316406249996, 167.12158203124997, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3433349609374998, 167.166748046875, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.34378662109375, 167.1893310546875, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3435607910156249, 167.17803955078122, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3434478759765622, 167.1723937988281, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.343391418457031, 167.16957092285156, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3434196472167965, 167.17098236083982, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3434337615966794, 167.17168807983396, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3434267044067378, 167.17133522033689, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3434302330017087, 167.17151165008542, 50, 3.0, 18.0, 0.16666666666666666, 2
